proxy,response,loginc,logarea,dwt,psu,stratum
51688.36,0,,,1615.702,30,1
44874.53,1,8.425077,4.317488,1615.702,30,1
43541.46,0,,,838.9171,30,1
46364.17,0,,,1615.702,30,1
47397.77,0,,,1615.702,30,1
45267.63,0,,,838.9171,30,1
46176.88,1,8.517193,4.634729,1615.702,30,1
44401.58,0,,,1615.702,30,1
46588.29,0,,,1615.702,30,1
47397.77,0,,,1615.702,30,1
41482.1,1,5.703783,4.094345,1615.702,30,1
43748.38,0,,,1615.702,30,1
44624,0,,,147.4621,30,1
48528.11,0,,,1615.702,30,1
44022.99,0,,,838.9171,30,1
44464,0,,,147.4621,30,1
41780.94,0,,,838.9171,30,1
46113,0,,,147.4621,30,1
42526.94,0,,,1615.702,30,1
44401.58,0,,,1615.702,30,1
49386.77,0,,,1615.702,30,1
44623.93,0,,,1615.702,30,1
44624,0,,,147.4621,30,1
43541.46,0,,,838.9171,30,1
44623.93,0,,,1615.702,30,1
46263.72,0,,,1615.702,30,1
43541.46,1,7.047517,3.951244,838.9171,30,1
42526.94,0,,,1615.702,30,1
44960.77,1,8.294049,4.787492,1615.702,30,1
46177,0,,,147.4621,30,1
44623.93,0,,,1615.702,30,1
47397.77,0,,,1615.702,30,1
51802.21,0,,,1615.702,30,1
40345,0,,,147.4621,30,1
40643,0,,,147.4621,30,1
43748,1,6.214608,3.218876,147.4621,30,1
44259.9,1,6.834109,3.828641,838.9171,30,1
41272,0,,,147.4621,30,1
46365.64,0,,,1615.702,30,1
46631.8,0,,,1615.702,30,1
41526.69,1,8.006368,4.787492,1615.702,30,1
48528.11,1,7.438384,4.787492,1615.702,30,1
44884.4,1,7.600903,4.204693,1615.702,30,1
37895.03,1,8.34284,4.70048,838.9171,30,1
42669.55,0,,,1615.702,30,1
41482.1,0,,,1615.702,30,1
41243.93,0,,,1615.702,30,1
47885.24,0,,,1615.702,30,1
43541,1,7.478735,4.317488,147.4621,30,1
46264,0,,,147.4621,30,1
46365.64,1,8.006368,4.553877,1615.702,30,1
44960.77,1,6.684612,4.317488,1615.702,30,1
42526.94,0,,,1615.702,30,1
44538.6,0,,,1615.702,30,1
51802.21,0,,,1615.702,30,1
44260,0,,,147.4621,30,1
44660,1,6.651572,3.912023,147.4621,30,1
46113.13,0,,,1615.702,30,1
41361.68,0,,,838.9171,30,1
46364.17,0,,,1615.702,30,1
48617,0,,,147.4621,30,1
46588.29,0,,,1615.702,30,1
41361.68,1,7.824046,4.787492,838.9171,30,1
39826.51,0,,,1279.354,33,1
37559.75,0,,,1279.354,33,1
36407.42,0,,,2749.601,33,1
40742,0,,,140.1481,33,1
45798,1,6.023448,3.970292,140.1481,33,1
45321,0,,,140.1481,33,1
36231.65,0,,,2749.601,33,1
38078.04,0,,,756.22,33,1
40681,1,6.530878,4.094345,140.1481,33,1
38341,0,,,1279.354,33,1
37897,1,7.313221,3.401197,140.1481,33,1
32845,1,6.55108,4.094345,140.1481,33,1
35820,0,,,140.1481,33,1
36594,1,6.55108,3.688879,140.1481,33,1
37257,0,,,140.1481,33,1
36069,1,6.80017,4.430817,140.1481,33,1
35447.09,0,,,1279.354,33,1
37275,0,,,140.1481,33,1
37257,0,,,140.1481,33,1
37356,0,,,140.1481,33,1
35820.25,0,,,756.22,33,1
43697,0,,,140.1481,33,1
44677,0,,,140.1481,33,1
41867.78,0,,,2749.601,33,1
41761.71,0,,,2749.601,33,1
32596,1,5.843544,3.218876,140.1481,33,1
36039.87,0,,,1279.354,33,1
35609,0,,,756.22,33,1
38078.04,0,,,756.22,33,1
44049.18,0,,,2749.601,33,1
37952,0,,,140.1481,33,1
37773.41,0,,,2749.601,33,1
42816.17,0,,,2749.601,33,1
36593.61,1,8.294049,4.454347,1279.354,33,1
40279,0,,,140.1481,33,1
37897.33,0,,,2749.601,33,1
36407,0,,,140.1481,33,1
34994.02,0,,,756.22,33,1
30847.06,0,,,756.22,33,1
36377,0,,,140.1481,33,1
43895,1,5.370638,3.806663,140.1481,33,1
36407,0,,,140.1481,33,1
32596,0,,,140.1481,33,1
43362.08,0,,,2749.601,33,1
37559.75,0,,,1279.354,33,1
36665.36,0,,,2749.601,33,1
41606,1,6.086775,3.7612,140.1481,33,1
38804,0,,,140.1481,33,1
33747.51,0,,,756.22,33,1
38263,1,7.495542,4.510859,140.1481,33,1
36732.23,1,7.972466,4.060443,2749.601,33,1
36069.4,0,,,1279.354,33,1
33747.51,0,,,756.22,33,1
35460,0,,,140.1481,33,1
36407.42,0,,,1279.354,33,1
41761.71,0,,,2749.601,33,1
37559.75,0,,,756.22,33,1
39240.35,0,,,2749.601,33,1
39966,0,,,140.1481,33,1
34223.07,0,,,756.22,33,1
35098.13,0,,,2749.601,33,1
35460,0,,,140.1481,33,1
46441.06,1,7.696213,4.60517,2749.601,33,1
36776.13,1,6.684612,4.248495,1279.354,33,1
39230,0,,,140.1481,33,1
36594,1,6.55108,4.158883,140.1481,33,1
43812,0,,,140.1481,33,1
38263.41,0,,,2749.601,33,1
34356.59,0,,,1279.354,33,1
46287,1,6.802395,4.204693,140.1481,33,1
42653,0,,,140.1481,33,1
38341,0,,,140.1481,33,1
37055.17,0,,,1279.354,33,1
36776.13,0,,,1279.354,33,1
39172.43,0,,,1279.354,33,1
36069,1,8.160519,4.787492,140.1481,33,1
42949,0,,,140.1481,33,1
35609,0,,,140.1481,33,1
41204.17,0,,,2749.601,33,1
34357,0,,,140.1481,33,1
39523.09,0,,,1279.354,33,1
43743.48,0,,,2749.601,33,1
42653,1,6.613384,3.091043,140.1481,33,1
31347,1,7.20786,3.951244,140.1481,33,1
37914.76,1,8.070906,4.174387,1279.354,33,1
36069.4,0,,,1279.354,33,1
43362,0,,,140.1481,33,1
37694.09,0,,,1279.354,33,1
38440.62,0,,,1279.354,33,1
41948.78,0,,,2749.601,33,1
34223.07,0,,,756.22,33,1
35098.13,0,,,1279.354,33,1
38263.41,0,,,1279.354,33,1
37099.01,0,,,1279.354,33,1
33095,1,6.390241,3.258096,140.1481,33,1
37915,0,,,140.1481,33,1
39186.79,0,,,1279.354,33,1
40084,0,,,140.1481,33,1
40083.69,0,,,2749.601,33,1
37773.41,0,,,2749.601,33,1
39186.79,0,,,1279.354,33,1
44074,0,,,140.1481,33,1
43362.08,0,,,2749.601,33,1
36466.81,0,,,1279.354,33,1
38274.13,1,7.495542,4.094345,1279.354,33,1
38987.08,0,,,2749.601,33,1
34356.59,0,,,756.22,33,1
40718,1,6.877296,4.204693,140.1481,33,1
35820,0,,,140.1481,33,1
38441,0,,,140.1481,33,1
43159,1,7.549609,4.382027,140.1481,33,1
42816.17,0,,,2749.601,33,1
35447,1,7.495542,3.688879,140.1481,33,1
39230,0,,,140.1481,33,1
42241,0,,,140.1481,33,1
37452.09,1,8.294049,4.60517,1279.354,33,1
36047,0,,,140.1481,33,1
38075,0,,,140.1481,33,1
36407.42,0,,,1279.354,33,1
36232,0,,,140.1481,33,1
35609,0,,,756.22,33,1
40736.96,1,7.192934,4.382027,1279.354,33,1
35820.25,0,,,756.22,33,1
36046.67,0,,,1279.354,33,1
32635,0,,,140.1481,33,1
33547,0,,,140.1481,33,1
35609,0,,,140.1481,33,1
38598,0,,,140.1481,33,1
36407.42,0,,,1279.354,33,1
39966.17,0,,,1279.354,33,1
38987.08,1,7.154615,4.189655,1279.354,33,1
39495,0,,,140.1481,33,1
36377.15,0,,,2749.601,33,1
38341,1,6.44572,3.806663,140.1481,33,1
43602,1,6.514713,3.688879,140.1481,33,1
36069.4,0,,,2749.601,33,1
34994,1,7.130899,4.317488,140.1481,33,1
35837.42,0,,,1279.354,33,1
39494.93,0,,,2749.601,33,1
41080.83,0,,,2749.601,33,1
37740,0,,,140.1481,33,1
39867.76,0,,,2749.601,33,1
41204,0,,,140.1481,33,1
38533.44,0,,,2571.642,42,1
32653,0,,,144.1656,42,1
33331.39,0,,,1288.599,42,1
37543,0,,,144.1656,42,1
36474,0,,,144.1656,42,1
36041,0,,,144.1656,42,1
33774.74,1,6.774224,3.610918,608.1453,42,1
38533.44,0,,,2571.642,42,1
36474,1,6.962244,4.189655,144.1656,42,1
31171,1,7.649693,4.442651,144.1656,42,1
38292.08,0,,,2571.642,42,1
40331.26,0,,,2571.642,42,1
31674.59,1,7.438384,4.158883,1288.599,42,1
30953.79,0,,,608.1453,42,1
41407,1,6.795706,4.382027,144.1656,42,1
36865.51,0,,,2571.642,42,1
39059,0,,,144.1656,42,1
36912,1,6.476973,3.218876,144.1656,42,1
36912,1,7.600903,4.60517,144.1656,42,1
39775.1,0,,,2571.642,42,1
38920,1,6.684612,3.367296,144.1656,42,1
39986.78,1,7.696213,4.60517,2571.642,42,1
31490.72,1,7.495542,4.442651,608.1453,42,1
33772.29,1,7.549609,4.317488,608.1453,42,1
38069.66,0,,,2571.642,42,1
32378.33,1,7.377759,3.637586,1288.599,42,1
35521,0,,,144.1656,42,1
38227.42,0,,,2571.642,42,1
33331.39,0,,,1288.599,42,1
33323.88,1,7.130899,2.995732,1288.599,42,1
38919.76,0,,,608.1453,42,1
31171,0,,,144.1656,42,1
36634,0,,,144.1656,42,1
31170.75,0,,,608.1453,42,1
30954,0,,,144.1656,42,1
31171,0,,,144.1656,42,1
39767.92,0,,,2571.642,42,1
33638,1,7.090077,3.89182,144.1656,42,1
40319.33,0,,,2571.642,42,1
36911.83,0,,,1288.599,42,1
31490.72,0,,,608.1453,42,1
38624.56,0,,,2571.642,42,1
31490.72,1,7.740664,4.26268,608.1453,42,1
39059.15,1,7.313221,3.688879,2571.642,42,1
36721.95,1,7.438384,4.317488,1288.599,42,1
37374.32,0,,,2571.642,42,1
38163.71,0,,,2571.642,42,1
31170.75,1,6.214608,2.995732,608.1453,42,1
33774.74,0,,,608.1453,42,1
32652.95,0,,,608.1453,42,1
40116.04,1,7.313221,4.189655,1288.599,42,1
35640.37,0,,,1288.599,42,1
40569.31,0,,,2571.642,42,1
31170.75,0,,,608.1453,42,1
37402.71,0,,,2571.642,42,1
35089,0,,,144.1656,42,1
40569,1,6.907755,4.007333,144.1656,42,1
33774.74,0,,,608.1453,42,1
31171,0,,,144.1656,42,1
33324,1,6.562444,4.543295,144.1656,42,1
31171,1,6.802395,3.610918,144.1656,42,1
31170.75,0,,,608.1453,42,1
38227,0,,,144.1656,42,1
36301.53,0,,,1288.599,42,1
31170.75,1,7.408531,4.094345,608.1453,42,1
32319,0,,,144.1656,42,1
35897.37,0,,,1288.599,42,1
36912,1,7.014814,4.465908,144.1656,42,1
33638,0,,,144.1656,42,1
38079,1,6.529419,3.526361,144.1656,42,1
31171,0,,,144.1656,42,1
40116.04,0,,,1288.599,42,1
36912,0,,,144.1656,42,1
40411.16,0,,,2571.642,42,1
26769,1,7.20786,4.61512,144.1656,42,1
38920,1,6.64639,3.637586,144.1656,42,1
34690.17,1,7.600903,4.369448,1288.599,42,1
36495,0,,,144.1656,42,1
31170.75,0,,,608.1453,42,1
36912,0,,,144.1656,42,1
32652.95,0,,,608.1453,42,1
31491,1,7.600903,4.369448,144.1656,42,1
39107,0,,,144.1656,42,1
33772.29,0,,,608.1453,42,1
38342.94,0,,,2571.642,42,1
36474,1,7.649693,4.304065,144.1656,42,1
31491,0,,,144.1656,42,1
40544,0,,,144.1656,42,1
33331,0,,,144.1656,42,1
36911.83,1,7.26403,3.970292,1288.599,42,1
40483.87,0,,,2571.642,42,1
33887,1,7.352441,4.356709,144.1656,42,1
30953.79,0,,,608.1453,42,1
37374.32,0,,,1288.599,42,1
31491,0,,,144.1656,42,1
42001.16,1,7.408531,4.248495,2571.642,42,1
33331,0,,,144.1656,42,1
36912,0,,,144.1656,42,1
33324,0,,,144.1656,42,1
38919.76,0,,,608.1453,42,1
31490.72,0,,,608.1453,42,1
39775,0,,,144.1656,42,1
39009.41,0,,,2571.642,42,1
38069.66,0,,,2571.642,42,1
39471.9,0,,,2571.642,42,1
35897.37,0,,,1288.599,42,1
38196.68,0,,,2571.642,42,1
31490.72,0,,,608.1453,42,1
36474,1,7.091742,4.094345,144.1656,42,1
36912,0,,,144.1656,42,1
33636,0,,,144.1656,42,1
36911.83,1,6.684612,3.89182,1288.599,42,1
38919.76,0,,,1288.599,42,1
31171,0,,,144.1656,42,1
38958.72,1,6.774224,4.406719,1288.599,42,1
37657,0,,,144.1656,42,1
37543,0,,,144.1656,42,1
36912,0,,,144.1656,42,1
36911.83,0,,,2571.642,42,1
36821,0,,,144.1656,42,1
36494.72,0,,,2571.642,42,1
31491,1,7.17012,3.912023,144.1656,42,1
38292.08,0,,,2571.642,42,1
33636,0,,,144.1656,42,1
33887,0,,,144.1656,42,1
31170.75,0,,,608.1453,42,1
34706,0,,,144.1656,42,1
38383,0,,,144.1656,42,1
36912,1,6.131227,3.583519,144.1656,42,1
32378.33,1,6.77308,3.583519,1288.599,42,1
38865.56,0,,,2571.642,42,1
37543,0,,,144.1656,42,1
31490.72,0,,,608.1453,42,1
39789.41,0,,,2571.642,42,1
39247.04,0,,,2571.642,42,1
38078.71,0,,,2571.642,42,1
40056,1,7.254885,4.382027,144.1656,42,1
38168.23,0,,,1288.599,42,1
37825,0,,,176.9088,87,1
39892.12,0,,,1076.745,87,1
34972.93,0,,,1076.745,87,1
38598,0,,,176.9088,87,1
36310.62,0,,,1076.745,87,1
27453,0,,,176.9088,87,1
36121.69,0,,,1076.745,87,1
27453,0,,,176.9088,87,1
35855.81,0,,,1930.038,87,1
27146,0,,,176.9088,87,1
34925.97,0,,,1930.038,87,1
38583.76,0,,,1930.038,87,1
30081,0,,,176.9088,87,1
37049,0,,,176.9088,87,1
40016.12,0,,,4556.279,87,1
38598,1,7.038784,4.382027,176.9088,87,1
29506,0,,,176.9088,87,1
37091.31,0,,,1930.038,87,1
34262,1,6.760415,4.543295,176.9088,87,1
36354.7,0,,,1930.038,87,1
35801,0,,,176.9088,87,1
33763,1,7.003066,4.127134,176.9088,87,1
36968.59,0,,,1076.745,87,1
31260.8,1,7.802209,4.744932,1076.745,87,1
34571,0,,,176.9088,87,1
37130.79,1,8.160519,4.49981,1076.745,87,1
36721.38,0,,,1076.745,87,1
34048,0,,,176.9088,87,1
40033,0,,,176.9088,87,1
31612.31,0,,,1076.745,87,1
36574,0,,,176.9088,87,1
36506.48,0,,,1930.038,87,1
37834,0,,,176.9088,87,1
34048,1,5.521461,3.850147,176.9088,87,1
29123,0,,,176.9088,87,1
37130.79,1,8.517193,4.828314,1076.745,87,1
35109.81,0,,,1076.745,87,1
35619,0,,,176.9088,87,1
27146,0,,,176.9088,87,1
38598,1,6.39693,3.78419,176.9088,87,1
40428.03,0,,,4556.279,87,1
30706,0,,,176.9088,87,1
32772.93,1,8.294049,4.60517,1076.745,87,1
39145.84,0,,,1930.038,87,1
33509,0,,,176.9088,87,1
41417,0,,,1930.038,87,1
37091.31,0,,,1930.038,87,1
36071.86,0,,,1076.745,87,1
33231.67,0,,,1076.745,87,1
30706,0,,,176.9088,87,1
36122,0,,,176.9088,87,1
35570.57,0,,,1930.038,87,1
35619.47,0,,,1076.745,87,1
38584,0,,,176.9088,87,1
33231.67,0,,,1076.745,87,1
34836.32,0,,,1930.038,87,1
37245,0,,,176.9088,87,1
36110.11,0,,,1076.745,87,1
34420.44,0,,,1076.745,87,1
33393.82,0,,,1076.745,87,1
38598,1,6.907755,4.317488,176.9088,87,1
38068.03,0,,,1076.745,87,1
36694,0,,,176.9088,87,1
34932.31,0,,,1930.038,87,1
30706,1,7.003066,4.532599,176.9088,87,1
32488.14,0,,,1076.745,87,1
34250.21,0,,,1076.745,87,1
38598,0,,,176.9088,87,1
24902.78,0,,,1076.745,87,1
38089,0,,,176.9088,87,1
38088.52,0,,,1930.038,87,1
36968.59,0,,,1076.745,87,1
37131,0,,,176.9088,87,1
34317.55,0,,,1076.745,87,1
37818.63,0,,,1930.038,87,1
36110.11,1,7.130899,4.094345,1076.745,87,1
38068.03,0,,,1076.745,87,1
38754.93,0,,,1930.038,87,1
38730,0,,,176.9088,87,1
29506,1,7.313221,4.59512,176.9088,87,1
38299.56,1,7.130899,4.382027,4556.279,87,1
34481,0,,,176.9088,87,1
37644,1,6.617403,4.304065,176.9088,87,1
40032.77,0,,,1930.038,87,1
34297.65,0,,,1076.745,87,1
33509,0,,,176.9088,87,1
33950.97,0,,,1076.745,87,1
36110.11,0,,,1076.745,87,1
38598,0,,,176.9088,87,1
37644,1,7.326466,4.382027,176.9088,87,1
35994,0,,,176.9088,87,1
34111,1,6.721426,3.89182,176.9088,87,1
40768.66,0,,,4556.279,87,1
35993.81,0,,,1930.038,87,1
32951.71,0,,,1076.745,87,1
26242,0,,,176.9088,87,1
26242,1,7.279319,4.007333,176.9088,87,1
39198,0,,,176.9088,87,1
38772.89,1,8.699514,5.010635,1930.038,87,1
35156,0,,,176.9088,87,1
34261.6,1,7.17012,3.912023,1076.745,87,1
33124,0,,,176.9088,87,1
38894.66,0,,,1076.745,87,1
36122,0,,,176.9088,87,1
36965.78,0,,,1930.038,87,1
38754.93,0,,,1930.038,87,1
34048,0,,,176.9088,87,1
38147.71,0,,,1930.038,87,1
30615.33,0,,,1076.745,87,1
35156,0,,,176.9088,87,1
37202.88,0,,,1076.745,87,1
35164.87,0,,,1930.038,87,1
29123.28,0,,,1076.745,87,1
29123,0,,,176.9088,87,1
40016,0,,,176.9088,87,1
29506,0,,,176.9088,87,1
37048.72,0,,,1076.745,87,1
34047.73,0,,,1076.745,87,1
29123,0,,,176.9088,87,1
26447.46,0,,,1076.745,87,1
29819,0,,,176.9088,87,1
34470.63,0,,,1076.745,87,1
27326,1,7.467371,4.382027,176.9088,87,1
34281,1,6.927558,4.248495,176.9088,87,1
36067.65,0,,,1076.745,87,1
36110.11,0,,,1930.038,87,1
37245,0,,,176.9088,87,1
27326,0,,,176.9088,87,1
39236,1,5.598422,4.007333,176.9088,87,1
26242,0,,,176.9088,87,1
24903,1,6.322565,4.110874,176.9088,87,1
36788.98,0,,,1930.038,87,1
33232,0,,,176.9088,87,1
40534.2,1,7.740664,4.382027,1930.038,87,1
40033,0,,,176.9088,87,1
34731,0,,,176.9088,87,1
35156,0,,,176.9088,87,1
41345.81,0,,,1930.038,87,1
37244.56,0,,,1930.038,87,1
34261.6,0,,,1076.745,87,1
29506,0,,,176.9088,87,1
38088.52,0,,,1930.038,87,1
31177.66,0,,,1076.745,87,1
30081,0,,,176.9088,87,1
31586.74,0,,,1930.038,87,1
26242,0,,,176.9088,87,1
38341.91,0,,,1930.038,87,1
39892.12,0,,,1076.745,87,1
27146,1,7.495542,4.430817,176.9088,87,1
34932.31,1,8.612503,5.521461,1930.038,87,1
38610,0,,,176.9088,87,1
30706.25,0,,,1076.745,87,1
35619,0,,,176.9088,87,1
26447,0,,,176.9088,87,1
33763.09,0,,,1076.745,87,1
38068.03,0,,,1076.745,87,1
33231.67,0,,,1076.745,87,1
24903,1,6.745236,4.143135,176.9088,87,1
30706,0,,,176.9088,87,1
30081.24,0,,,1076.745,87,1
38017.26,0,,,1930.038,87,1
38598,1,6.55108,4.317488,176.9088,87,1
33992.01,0,,,656.5928,210,1
38757.16,0,,,656.5928,210,1
37378,0,,,141.6638,210,1
40525,0,,,141.6638,210,1
34106.14,0,,,1342.313,210,1
37377.95,0,,,1342.313,210,1
36984,0,,,141.6638,210,1
46298.32,0,,,2808.664,210,1
39718,0,,,141.6638,210,1
36942.24,0,,,1342.313,210,1
38757.16,0,,,656.5928,210,1
42619.51,1,8.160519,4.867535,2808.664,210,1
33230,0,,,656.5928,210,1
34106.14,0,,,1342.313,210,1
30294.75,0,,,656.5928,210,1
35727,0,,,141.6638,210,1
47227.88,0,,,2808.664,210,1
33119,0,,,141.6638,210,1
39068.39,0,,,1342.313,210,1
36982,0,,,141.6638,210,1
38904,0,,,141.6638,210,1
37639,0,,,141.6638,210,1
36505,1,7.467371,4.248495,141.6638,210,1
38757,0,,,141.6638,210,1
39255.44,0,,,1342.313,210,1
39574.97,0,,,1342.313,210,1
34106.14,0,,,1342.313,210,1
38006.2,1,5.480639,3.555348,1342.313,210,1
39359.8,0,,,1342.313,210,1
37285,1,7.142828,4.127134,141.6638,210,1
42297.39,0,,,2808.664,210,1
36678,0,,,141.6638,210,1
36942.24,0,,,1342.313,210,1
45195.69,0,,,2808.664,210,1
39125.77,0,,,2808.664,210,1
39444.03,0,,,1342.313,210,1
37287.72,0,,,1342.313,210,1
41113.74,0,,,1342.313,210,1
39125.77,0,,,1342.313,210,1
35726.58,0,,,1342.313,210,1
35046.84,0,,,656.5928,210,1
37377.95,0,,,1342.313,210,1
39030.01,0,,,1342.313,210,1
35727,0,,,141.6638,210,1
33509.34,1,8.006368,4.29046,1342.313,210,1
37378,1,6.484635,3.970292,141.6638,210,1
39255,0,,,141.6638,210,1
37378,1,7.673223,4.248495,141.6638,210,1
40074,1,7.293018,4.094345,141.6638,210,1
36984,1,6.984716,3.912023,141.6638,210,1
29160,0,,,141.6638,210,1
35727,1,7.740664,4.394449,141.6638,210,1
38915.87,1,7.783224,4.75359,656.5928,210,1
38006,0,,,141.6638,210,1
39360,0,,,141.6638,210,1
47227.88,0,,,2808.664,210,1
40400.96,0,,,1342.313,210,1
41069,1,7.313221,4.219508,141.6638,210,1
35726.58,0,,,1342.313,210,1
37493.18,0,,,1342.313,210,1
42343.58,0,,,1342.313,210,1
43716.78,0,,,2808.664,210,1
30717,0,,,141.6638,210,1
39255.44,0,,,1342.313,210,1
38845.81,0,,,1342.313,210,1
39359.8,0,,,1342.313,210,1
40114,0,,,141.6638,210,1
39580.1,0,,,1342.313,210,1
36505.03,0,,,2808.664,210,1
38720.59,0,,,1342.313,210,1
33230,0,,,656.5928,210,1
31397,1,6.907755,4.094345,141.6638,210,1
38757.16,0,,,656.5928,210,1
42724.1,0,,,2808.664,210,1
33119,0,,,141.6638,210,1
43437,0,,,141.6638,210,1
42620,0,,,141.6638,210,1
38634.78,0,,,1342.313,210,1
39030.01,0,,,1342.313,210,1
39718.22,1,8.411833,4.941642,2808.664,210,1
32928,0,,,141.6638,210,1
41150,0,,,141.6638,210,1
41656.96,0,,,2808.664,210,1
39125.77,0,,,1342.313,210,1
36505,0,,,141.6638,210,1
44151,0,,,141.6638,210,1
41494.32,0,,,2808.664,210,1
43436.56,0,,,2808.664,210,1
38598,1,7.495542,4.60517,141.6638,210,1
34982.32,0,,,1342.313,210,1
41150.16,0,,,2808.664,210,1
36677.88,0,,,1342.313,210,1
34695.59,1,6.684612,4.094345,1342.313,210,1
38846,1,8.006368,4.49981,141.6638,210,1
38080.8,0,,,1342.313,210,1
33119.32,0,,,656.5928,210,1
38598,0,,,141.6638,210,1
33992.01,1,7.696213,4.574711,656.5928,210,1
35526.5,0,,,656.5928,210,1
39693,0,,,141.6638,210,1
37964.05,0,,,656.5928,210,1
35526.5,0,,,1342.313,210,1
38846,0,,,141.6638,210,1
33571.14,0,,,2808.664,210,1
43188.95,1,8.160519,4.60517,1342.313,210,1
36942.24,0,,,1342.313,210,1
30717,1,6.860664,4.060443,141.6638,210,1
35726.58,0,,,1342.313,210,1
38720.59,0,,,1342.313,210,1
46226.96,0,,,2808.664,210,1
37031.43,0,,,1342.313,210,1
38691.9,1,8.070906,4.75359,1342.313,210,1
43717,0,,,141.6638,210,1
39030.01,0,,,1342.313,210,1
38757,1,6.58755,4.574711,141.6638,210,1
44497.75,0,,,2808.664,210,1
38279.31,0,,,1342.313,210,1
34106,0,,,141.6638,210,1
38757.16,1,6.309918,2.890372,656.5928,210,1
43592.41,0,,,2808.664,210,1
42619.51,0,,,2808.664,210,1
37031,1,5.843544,3.178054,141.6638,210,1
38080.8,0,,,1342.313,210,1
37288,1,7.130899,4.276666,141.6638,210,1
38691.9,1,7.696213,4.867535,1342.313,210,1
38720.59,0,,,1342.313,210,1
36505.03,0,,,1342.313,210,1
38006,0,,,141.6638,210,1
36982,0,,,141.6638,210,1
36942.24,0,,,1342.313,210,1
38106.24,1,7.377759,4.174387,1342.313,210,1
37896,0,,,141.6638,210,1
36982,0,,,141.6638,210,1
40631.24,0,,,1342.313,210,1
44492,0,,,138.4687,241,1
49430.86,0,,,2038.821,241,1
49967.34,0,,,2038.821,241,1
47632,1,7.438384,4.682131,138.4687,241,1
39937,1,8.160519,4.49981,138.4687,241,1
45449.48,1,8.294049,4.962845,1075.986,241,1
40193,0,,,138.4687,241,1
40214,1,6.613384,4.043051,138.4687,241,1
45654,0,,,138.4687,241,1
40633.55,0,,,1075.986,241,1
44624,0,,,138.4687,241,1
40265.45,0,,,1075.986,241,1
48448.19,0,,,2038.821,241,1
47429,0,,,138.4687,241,1
40505.71,0,,,2038.821,241,1
40687.53,1,7.229839,4.143135,1075.986,241,1
47164,1,6.620073,4.143135,138.4687,241,1
47961.82,0,,,2038.821,241,1
40252,0,,,138.4687,241,1
42676,0,,,138.4687,241,1
46559,0,,,138.4687,241,1
40999,0,,,138.4687,241,1
40633.55,0,,,2038.821,241,1
40045.57,0,,,1075.986,241,1
47614.15,0,,,2038.821,241,1
49431,1,6.861712,3.806663,138.4687,241,1
43563,0,,,138.4687,241,1
38288,0,,,138.4687,241,1
40468,0,,,138.4687,241,1
40128.34,0,,,1075.986,241,1
40045.57,0,,,1075.986,241,1
42033.11,0,,,2038.821,241,1
40046,0,,,138.4687,241,1
42141,0,,,138.4687,241,1
46455.84,1,8.682708,4.941642,2038.821,241,1
40117,0,,,138.4687,241,1
41239,0,,,138.4687,241,1
47154.64,0,,,2038.821,241,1
40821.44,0,,,1075.986,241,1
